id,text,label,source,is_synthetic,review_status,notes
pay-001,카드 결제가 계속 실패합니다.,payment,synthetic,true,approved,v1
pay-002,결제 승인 문자는 왔는데 주문 내역이 없어요.,payment,synthetic,true,approved,order_not_created
pay-003,어제 산 물건이 같은 금액으로 두 번 결제됐습니다.,payment,synthetic,true,approved,duplicate_charge
pay-004,네이버페이로 결제하려는데 선택이 안 됩니다.,payment,synthetic,true,approved,payment_method
pay-005,무통장 입금했는데 아직 입금 대기라고 나와요.,payment,synthetic,true,approved,bank_transfer
pay-006,주문서 금액보다 카드에서 더 많이 청구됐어요.,payment,synthetic,true,approved,amount_mismatch
pay-007,해외에서 발급한 카드도 사용할 수 있나요?,payment,synthetic,true,approved,payment_method
pay-008,할부 결제로 바꾸고 싶은데 가능한가요?,payment,synthetic,true,approved,payment_method
pay-009,결제 도중 한도가 초과됐다는 안내가 나옵니다.,payment,synthetic,true,approved,authorization
pay-010,포인트를 썼는데 결제 금액에서 차감되지 않았습니다.,payment,synthetic,true,approved,amount_mismatch
pay-011,결제는 완료라고 뜨는데 주문 번호가 생성되지 않았어요.,payment,synthetic,true,approved,order_not_created
pay-012,가상계좌 번호가 발급되지 않습니다.,payment,synthetic,true,approved,payment_method
pay-013,카드 승인 취소가 되었다는데 결제 내역은 남아 있습니다.,payment,synthetic,true,approved,authorization
pay-014,결제 수단을 두 개로 나눠서 쓸 수 있나요?,payment,synthetic,true,approved,payment_method
pay-015,간편결제 비밀번호를 맞게 넣었는대 결제가 계속 거절돼요. 카드 문제인지 확인 부탁드립니다.,payment,synthetic,true,approved,authorization_colloquial_typo
pay-016,주문하려고 결제했는데 장바구니 상품이 그대로입니다.,payment,synthetic,true,approved,order_not_created
pay-017,카드사 앱에는 승인으로 보이는데 여기 주문은 없네요.,payment,synthetic,true,approved,order_not_created
pay-018,결제 금액에 알 수 없는 추가 비용이 붙었습니다.,payment,synthetic,true,approved,amount_mismatch
pay-019,계좌이체 결제 가능 시간을 알고 싶습니다.,payment,synthetic,true,approved,payment_method
pay-020,결제 버튼을 누른 뒤 돈만 빠져나간 것 같아요.,payment,synthetic,true,approved,authorization
ref-001,아직 출고 전인데 주문을 취소하고 싶습니다.,cancellation_refund,synthetic,true,approved,cancellation
